Date,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),CO (ppm),Vehicle Count,Average Speed (km/h),Temperature (°C),Humidity (%),Wind Speed (m/s),Precipitation (mm)
2022-01-01,81.16262258099887,72.20271340039127,21.093473035954755,4.411282175037625,2562,53.7161152111798,14.964058695935755,37.01815729042185,11.052076600814987,0.5035567416141584
2022-01-02,190.63571821788406,238.28365259869094,69.82305385193169,2.0691437070986014,9530,26.716074688087353,36.34362871619132,68.28686301265645,9.020804789726789,13.739513221089988
2022-01-03,149.07884894416696,118.03507256668442,71.75194932427931,2.8004526284843037,4821,56.57035346029899,14.81684003613448,60.28959503788811,9.831801847403462,5.469996273016697
2022-01-04,123.74511199743695,36.19594943775098,130.36172338078714,4.846715897843643,3996,54.1059172598302,19.695093666835525,89.36639977267389,0.1300363476769656,32.99104213466973
2022-01-05,39.64354168406294,291.34873643942717,84.26399192722933,0.5195106939882697,2313,67.51958200434258,30.832855732426047,96.21382931992605,13.912755235617368,15.953748616036311
2022-01-06,39.6389588638785,267.4600477897592,60.1580796007094,3.311926435770059,6756,79.20125669702145,21.238045798996463,52.38879116945155,0.9943528116982536,38.35896642018308
2022-01-07,21.035886311957896,279.77063929465965,146.6360476340456,0.555706028359362,2813,35.05240830296663,38.20981325722711,60.50804426246499,5.502088277100085,10.345809367305847
2022-01-08,174.57346769723767,298.5741903410019,21.054486032315772,2.002250856639202,1731,50.57938704822564,24.715112373135742,97.72130854433114,6.040674744775504,45.01174287160548
2022-01-09,124.21185223120968,68.69066978145645,66.26952210523197,4.058309816928544,6331,74.53192437914021,18.521925433042046,42.099115329851486,0.020332867469232685,26.14907575529163
2022-01-10,144.53378978124863,130.94776529274446,11.093577899853766,2.2806667172270454,3499,67.11139306537048,-3.9383614498641863,83.39126202870509,7.456339640261956,5.725309823449071
2022-01-11,13.911053916202466,232.30677319714556,112.2860975112049,4.986475298734162,3940,49.24437818604845,13.617980391114841,38.0191921868197,11.292134917665148,20.042261782673947
2022-01-12,194.2828719107789,214.88577305506183,138.12110006887684,2.8834845677436904,4556,76.72229897688666,8.466178866707219,74.51680923402176,12.349029796721583,10.338026203488083
2022-01-13,168.16410175208014,63.09085377515942,45.60541278482097,1.7415783326525767,805,23.43420161100856,28.664755054937018,40.28925021108513,13.190954899588267,9.98427130840896
2022-01-14,50.34443102887247,248.433274997373,129.45954313587254,1.2565343643428148,2189,75.85991718275504,4.372495381909561,90.69867110651094,7.315783024730543,25.318486882610447
2022-01-15,44.54674376934912,82.84336011426498,47.371643416975175,1.8824985645735766,4417,23.030443542968392,4.234903928233232,64.91823549893414,9.459542857944758,33.59460078181863
2022-01-16,44.84685687215242,82.66893215033446,137.0616734383677,1.9881597140458438,7580,52.83828464688106,3.5283569456819546,34.874691269950766,1.1927956994474815,45.58091027517141
2022-01-17,67.80602616231216,170.3528384101558,114.32447602153367,0.5298256530750127,9111,73.42645688006515,0.6527025920306171,37.949534055878885,7.320573364226249,25.108100538182672
2022-01-18,109.70372201012519,186.0231817556769,121.7114826420086,1.9739561572485111,3436,35.763256613678166,8.995315165189933,59.50793565664802,2.3222363230760292,48.29193875291651
2022-01-19,92.069553542002,182.42413819458713,7.610950562065902,2.4283448947482795,4362,48.33490993670951,34.866495149954126,96.9281620459903,5.544646764337822,47.08174260366844
2022-01-20,65.33353663762796,45.61631447137137,144.60750177573377,3.6691412107462624,6149,39.459732748218,29.87178125376797,81.57137311069235,4.939579692968989,43.25312649921802
2022-01-21,126.2520499972521,265.68904153650647,110.36729385019687,3.352301526663718,3761,77.12863502458109,28.086304733805704,59.06477142606761,6.353108658622623,24.998863248120927
2022-01-22,36.50383352388795,94.3680119248377,49.188908830989334,3.6020751450999406,9856,69.41873568518545,30.88015625424832,47.01753156497737,8.574549269611989,7.045197184399177
2022-01-23,65.50748322169144,56.26417795918517,125.26222640453281,0.2401456730089141,2319,62.540090679582775,7.123805019830725,63.94147946787541,13.543149705944938,10.895223490769245
2022-01-24,79.60875022580143,268.8494623633136,45.82057377016484,1.2448035179865728,1842,55.257619196906525,34.93487608386195,79.86886667428958,5.91726947021258,32.38350013559878
2022-01-25,96.65329700123682,287.58241950433097,131.54930673708856,3.3760845843193112,6060,69.23550735944889,1.1786518813721978,82.714287076224,14.71696793567326,21.087749014209805
2022-01-26,159.18343266467258,261.39573283432617,21.324156609730867,2.5231489672627863,2726,43.53602249141282,10.135557702201186,45.96870384775557,11.385420720768042,7.340081587699821
2022-01-27,47.93801861008835,246.66450092296586,107.03446673181539,0.22550468320806055,1579,46.853111306363715,21.40366535353043,77.69274145711017,7.672215701825749,23.94969668196552
2022-01-28,107.7045432985862,203.46775457892608,83.401279113512,4.061574283672747,4706,63.800103264851685,-0.3692710246099722,72.62310240289489,9.660396556679162,0.8715272751022962
2022-01-29,122.55876808378807,174.240063770559,18.997498178338915,3.9094859517936196,6780,41.465285797622855,27.85585844993912,96.7289833597035,1.5333625669791673,36.69476854497966
2022-01-30,18.825578416799566,44.35629277519484,40.07460509753165,2.8324119823691007,7735,23.83405652290243,12.426072169156374,94.48722324064119,12.667822969704822,3.679064724484543
2022-01-31,125.43352186127329,134.36689965979565,6.798585260210644,0.5190239637261062,1313,24.460076533164287,30.298254952378002,83.15034604828617,8.735361825959489,31.45568099560595
2022-02-01,42.39958350058539,124.35278476344791,72.97135499235334,3.8792722377564064,5589,26.921768078342232,17.180332851307124,77.87157510839427,14.791012203144026,39.65051538127997
2022-02-02,22.35980266720311,92.73105945289134,48.683462810200055,3.001825221110547,2531,72.18087940061977,3.1393535991401365,41.92332717634207,9.546431156292737,6.632193722698276
2022-02-03,190.28825207813333,222.5576318328038,91.76183522317503,3.953407890358204,9014,48.33358554537226,28.064281510990497,87.67722048788266,12.511673748994877,25.931934533300627
2022-02-04,193.47008628416629,158.84520582205582,48.09948211774949,3.808385563500034,9595,62.77294216068419,6.34647801275246,54.200456297069294,11.996441141928596,38.95337571797348
2022-02-05,163.59549614212762,42.69294045414142,48.48827116851278,4.054409945397618,6411,43.5745601362936,17.086463557061926,41.77924340048357,5.181917272024032,13.03167273785007
2022-02-06,67.87661614294043,81.65129654594718,112.76301381608249,2.6864387187421994,3153,35.52265684493807,-1.6010028879391576,50.732860636276996,3.8941593784981747,8.145829650080955
2022-02-07,28.557701661212935,211.31245382468686,11.98071121686125,0.873557687328872,3840,40.83153005373272,22.803999448541653,86.87483920132064,6.4574037514726506,16.840955548372843
2022-02-08,140.0042750373098,41.316640657284054,135.91977430283814,3.421555872222506,8376,67.65094071903101,24.963599479732476,31.890657246230802,7.008620166132557,27.73495882916579
2022-02-09,93.62897381052424,258.3379359336552,128.57826178672133,3.178274168249459,1641,57.512967501886294,12.04033944877526,56.4926992895858,3.6012705290496583,28.7639797427375
2022-02-10,33.187264620507975,158.64102756391281,101.83167906782894,3.7628152985556187,9541,76.25838679747412,37.949025114448325,59.38860756235918,13.418968100264578,6.5438166728843505
2022-02-11,104.08361292114134,154.56424165146143,91.01712766557073,1.0154288290435294,9058,60.78228671461004,34.33760146669308,22.930375807905552,8.13821793450969,22.878442383698584
2022-02-12,16.533819011891495,185.87417970466493,134.38386223024958,1.1358809595213881,3397,54.210897905281634,26.857341208299765,35.65968236385323,14.676665882303544,13.414109776974392
2022-02-13,182.77087639496858,250.91067045904177,31.872876031663594,4.473965682652777,9781,56.61176053915007,27.11434335221842,86.13939428606852,12.150266670693949,42.10121090324754
2022-02-14,59.16819650400321,117.38657821261405,16.45052851767015,3.79989343256994,4541,76.54228636810487,6.358077172396806,86.46139108758085,8.33557290587919,15.678756603201538
2022-02-15,135.8792340272566,209.8445227165378,39.728974636883024,4.55949674576155,2538,67.29205579200237,24.556685398980203,43.39320671073984,14.205604172165389,41.935226226692976
2022-02-16,69.22510445698808,178.4049499188215,120.21385041152759,3.8418335415868192,4770,21.442474241986268,3.9192819355983843,89.99177876783409,7.573122226429606,21.428230630089608
2022-02-17,108.81292402378405,94.76791564743797,10.027188675340081,3.066345468753449,5183,52.04838176814184,1.4801450763919952,81.74263512546783,13.306597687780057,36.32928829132266
2022-02-18,113.87495307522313,266.0163961794442,89.506991087106,3.339837137733794,994,61.30030469279389,39.97605523911611,53.432598703632756,5.372171717937083,25.503011427207184
2022-02-19,45.122346549850135,243.27928604993986,149.33843984773995,4.467814034912048,7616,64.9219087063493,23.006916916292838,79.87250755240302,5.679635751061411,31.098131206548825
2022-02-20,194.22107927526613,204.36651370435914,129.07593360644321,2.9782724216573144,2284,32.7885271588362,14.394454269573572,96.9067704955845,6.271960244563967,19.767825543069158
2022-02-21,157.27523643861176,258.16288414638774,80.60962491132047,3.2354783567762597,4010,72.03064126708114,7.96740352977781,56.7175774452279,8.199384689148692,38.41033839037454
2022-02-22,188.50479889719594,262.84237626874466,14.22793184656314,0.9510882368172828,4286,77.35058883050982,22.176419964800232,39.07417431627869,8.302354052982361,21.259469178682917
2022-02-23,180.01719658125327,218.34163348020974,125.54915958592792,2.474821856557293,5766,34.20291835069219,-2.7682921300961243,95.34532000401246,7.445983825156263,22.873082329291094
2022-02-24,123.60099597410618,254.36373194182818,91.85188368569553,3.638706137398875,9690,72.95692745103474,-0.739355427284222,68.29954308506052,4.5900146037475125,25.88393341154786
2022-02-25,185.1561046543922,215.2920092673994,21.66528457363719,1.500524951918554,5928,25.818725750965722,-3.5214486016821644,28.421212998434022,13.908096971862465,41.59120591929917
2022-02-26,26.813575389864706,210.4394160928841,18.60930629938665,1.1708200665177675,7181,23.34241016691471,17.46264249681978,65.81462526853515,8.828791460238815,32.968946430073245
2022-02-27,47.236743859637585,193.2111859002516,136.8958888183059,1.7063686794771946,7393,27.75342800616496,22.027298313423216,60.0464711558639,6.116088242873924,17.458019328287488
2022-02-28,18.59318489300223,230.76065907613955,102.03403812602137,1.3592030143656004,5158,23.46446476802216,-2.1884107388980616,88.44711152604506,9.767654411154274,33.51598169907714
2022-03-01,71.81276284502022,64.40942948206063,125.24658590092955,1.2315806577747,7582,70.70073422934655,27.455101037451243,62.45561518108171,11.519501367147077,32.121328650428865
2022-03-02,83.84868504100159,266.64381257569994,132.45194054092877,2.2392840457668175,7369,23.543008667496316,5.367778218155397,40.41859474754268,14.410921323423645,46.55096379398522
